,ENCnum,ENCtime
748,4294966549.0,20392917.0
749,4294966548.0,20396036.0
750,4294966547.0,20399154.0
751,4294966546.0,20402272.0
752,4294966545.0,20405387.0
753,4294966544.0,20408498.0
754,4294966543.0,20411607.0
755,4294966542.0,20414711.0
756,4294966541.0,20417811.0
757,4294966540.0,20420907.0
758,4294966539.0,20423998.0
759,4294966538.0,20427086.0
760,4294966537.0,20430175.0
761,4294966536.0,20433263.0
762,4294966535.0,20436346.0
763,4294966534.0,20439427.0
764,4294966533.0,20442506.0
765,4294966532.0,20445585.0
766,4294966531.0,20448664.0
767,4294966530.0,20451737.0
768,4294966529.0,20454810.0
769,4294966528.0,20457880.0
770,4294966527.0,20460951.0
771,4294966526.0,20464020.0
772,4294966525.0,20467094.0
773,4294966524.0,20470163.0
774,4294966523.0,20473230.0
775,4294966522.0,20476295.0
776,4294966521.0,20479354.0
777,4294966520.0,20482412.0
778,4294966519.0,20485465.0
779,4294966518.0,20488510.0
780,4294966517.0,20491557.0
781,4294966516.0,20494598.0
782,4294966515.0,20497638.0
783,4294966514.0,20500675.0
784,4294966513.0,20503711.0
785,4294966512.0,20506740.0
786,4294966511.0,20509778.0
787,4294966510.0,20512798.0
788,4294966509.0,20515815.0
789,4294966508.0,20518829.0
790,4294966507.0,20521843.0
791,4294966506.0,20524859.0
792,4294966505.0,20527875.0
793,4294966504.0,20530898.0
794,4294966503.0,20533922.0
795,4294966502.0,20536944.0
796,4294966501.0,20539968.0
797,4294966500.0,20542991.0
798,4294966499.0,20546017.0
799,4294966498.0,20549043.0
800,4294966497.0,20552071.0
801,4294966496.0,20555102.0
802,4294966495.0,20558136.0
803,4294966494.0,20561169.0
804,4294966493.0,20564200.0
805,4294966492.0,20567226.0
806,4294966491.0,20570251.0
807,4294966490.0,20573268.0
808,4294966489.0,20576282.0
809,4294966488.0,20579286.0
810,4294966487.0,20582285.0
811,4294966486.0,20585276.0
812,4294966485.0,20588259.0
813,4294966484.0,20591236.0
814,4294966483.0,20594207.0
815,4294966482.0,20597172.0
816,4294966481.0,20600133.0
817,4294966480.0,20603085.0
818,4294966479.0,20606030.0
819,4294966478.0,20608968.0
820,4294966477.0,20611900.0
821,4294966476.0,20614828.0
822,4294966475.0,20617757.0
823,4294966474.0,20620685.0
824,4294966473.0,20623610.0
825,4294966472.0,20626544.0
826,4294966471.0,20629473.0
827,4294966470.0,20632401.0
828,4294966469.0,20635331.0
829,4294966468.0,20638261.0
830,4294966467.0,20641197.0
831,4294966466.0,20644137.0
832,4294966465.0,20647081.0
833,4294966464.0,20650030.0
834,4294966463.0,20652980.0
835,4294966462.0,20655930.0
836,4294966461.0,20658877.0
837,4294966460.0,20661818.0
838,4294966459.0,20664757.0
839,4294966458.0,20667694.0
840,4294966457.0,20670627.0
